2025-06-13 23:40:23,287 - INFO - Tracking pipeline started.
2025-06-13 23:41:51,116 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00003.txt: Predicted vehicle position: (0.4293, 0.1187), True center: (0.4262, 0.1204), Minimum disp_x: -0.0074, Minimum disp_y: 0.0055, Distance: 0.0036, 預測位置精確度: 98.22%
2025-06-13 23:41:51,116 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00003.txt: Predicted vehicle position: (0.4960, 0.1452), True center: (0.4901, 0.1545), Minimum disp_x: -0.0067, Minimum disp_y: 0.0113, Distance: 0.0110, 預測位置精確度: 94.49%
2025-06-13 23:41:51,117 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00003.txt: Predicted vehicle position: (0.3779, 0.1755), True center: (0.3638, 0.1831), Minimum disp_x: -0.0268, Minimum disp_y: 0.0213, Distance: 0.0160, 預測位置精確度: 92.01%
2025-06-13 23:41:51,117 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00004.txt: Predicted vehicle position: (0.3371, 0.2044), True center: (0.3181, 0.2260), Minimum disp_x: -0.0457, Minimum disp_y: 0.0429, Distance: 0.0287, 預測位置精確度: 85.63%
2025-06-13 23:41:51,117 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00004.txt: Predicted vehicle position: (0.4189, 0.1259), True center: (0.4148, 0.1320), Minimum disp_x: -0.0115, Minimum disp_y: 0.0116, Distance: 0.0074, 預測位置精確度: 96.31%
2025-06-13 23:41:51,118 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00004.txt: Predicted vehicle position: (0.4834, 0.1658), True center: (0.5178, 0.0969), Minimum disp_x: 0.0277, Minimum disp_y: -0.0576, Distance: 0.0770, 預測位置精確度: 61.49%
2025-06-13 23:41:51,119 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00004.txt: Predicted vehicle position: (0.4834, 0.1658), True center: (0.4818, 0.1759), Minimum disp_x: -0.0083, Minimum disp_y: 0.0214, Distance: 0.0102, 預測位置精確度: 94.90%
2025-06-13 23:41:51,120 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00005.txt: Predicted vehicle position: (0.2723, 0.2689), True center: (0.2344, 0.3004), Minimum disp_x: -0.0836, Minimum disp_y: 0.0744, Distance: 0.0493, 預測位置精確度: 75.35%
2025-06-13 23:41:51,121 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00005.txt: Predicted vehicle position: (0.6974, 0.1042), True center: (0.7432, 0.2837), Minimum disp_x: -0.0674, Minimum disp_y: -0.1562, Distance: 0.1853, 預測位置精確度: 7.36%
2025-06-13 23:41:51,121 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00005.txt: Predicted vehicle position: (0.4033, 0.1436), True center: (0.3969, 0.1448), Minimum disp_x: -0.0179, Minimum disp_y: 0.0128, Distance: 0.0065, 預測位置精確度: 96.73%
2025-06-13 23:41:51,122 - INFO - Label /home/eddy/Desktop/MasterThesis/mainProgram/AICUP_datasets/test/labels/1015_150000_151900/0_00005.txt: Predicted vehicle position: (0.4735, 0.1972), True center: (0.4638, 0.2085), Minimum disp_x: -0.0180, Minimum disp_y: 0.0326, Distance: 0.0149, 預測位置精確度: 92.57%
